open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722527100000,-0.00064996,-0.00008087,-0.00071561,-0.00046985,0,1722527159999,0,12,0,0,0
1722527160000,-0.00061360,-0.00036303,-0.00081948,-0.00058147,0,1722527219999,0,12,0,0,0
1722527220000,-0.00070825,-0.00029760,-0.00070825,-0.00048535,0,1722527279999,0,12,0,0,0
1722527280000,-0.00046577,0.00014921,-0.00061757,0.00001263,0,1722527339999,0,12,0,0,0
1722527340000,-0.00068526,-0.00029466,-0.00090917,-0.00056119,0,1722527399999,0,12,0,0,0
1722527400000,-0.00071118,-0.00013362,-0.00104671,-0.00056962,0,1722527459999,0,12,0,0,0
1722527460000,-0.00041888,-0.00007989,-0.00041888,-0.00033515,0,1722527519999,0,12,0,0,0
1722527520000,-0.00003536,0,-0.00064386,-0.00044190,0,1722527579999,0,12,0,0,0
1722527580000,-0.00080888,-0.00025056,-0.00080888,-0.00038658,0,1722527639999,0,12,0,0,0
1722527640000,-0.00048076,-0.00032963,-0.00066411,-0.00042881,0,1722527699999,0,12,0,0,0
1722527700000,-0.00024573,-0.00000269,-0.00050016,-0.00037763,0,1722527759999,0,12,0,0,0
1722527760000,-0.00024665,-0.00000393,-0.00045731,-0.00035289,0,1722527819999,0,12,0,0,0
1722527820000,-0.00032686,-0.00011691,-0.00068598,-0.00053391,0,1722527879999,0,12,0,0,0
1722527880000,-0.00075024,-0.00044153,-0.00098434,-0.00049352,0,1722527939999,0,12,0,0,0
1722527940000,-0.00048865,-0.00029239,-0.00071751,-0.00034425,0,1722527999999,0,12,0,0,0
1722528000000,-0.00053975,-0.00017305,-0.00071506,-0.00063559,0,1722528059999,0,12,0,0,0
1722528060000,-0.00057649,0,-0.00061596,-0.00061596,0,1722528119999,0,12,0,0,0
1722528120000,-0.00036664,-0.00007462,-0.00101416,-0.00029459,0,1722528179999,0,12,0,0,0
1722528180000,-0.00074232,0.00013898,-0.00103658,-0.00042270,0,1722528239999,0,12,0,0,0
1722528240000,-0.00035014,-0.00007219,-0.00084137,-0.00021572,0,1722528299999,0,12,0,0,0
1722528300000,-0.00026417,0.00000826,-0.00104259,-0.00050408,0,1722528359999,0,12,0,0,0
1722528360000,-0.00032132,0.00034768,-0.00064132,0.00008105,0,1722528419999,0,12,0,0,0
1722528420000,-0.00041274,-0.00005364,-0.00055653,-0.00040453,0,1722528479999,0,12,0,0,0
1722528480000,-0.00011706,-0.00003415,-0.00083568,-0.00050503,0,1722528539999,0,12,0,0,0
1722528540000,-0.00062302,-0.00043457,-0.00109853,-0.00072355,0,1722528599999,0,12,0,0,0
1722528600000,-0.00070684,0.00000891,-0.00110638,-0.00024547,0,1722528659999,0,12,0,0,0
1722528660000,-0.00036708,-0.00008948,-0.00075759,-0.00018079,0,1722528719999,0,12,0,0,0
1722528720000,-0.00012716,-0.00003803,-0.00040304,-0.00040304,0,1722528779999,0,12,0,0,0
1722528780000,-0.00069600,-0.00008377,-0.00071102,-0.00025348,0,1722528839999,0,12,0,0,0
1722528840000,-0.00039819,-0.00007472,-0.00077931,-0.00077931,0,1722528899999,0,12,0,0,0
1722528900000,-0.00033677,-0.00002161,-0.00099209,-0.00040750,0,1722528959999,0,12,0,0,0
1722528960000,-0.00042938,0,-0.00086270,-0.00070743,0,1722529019999,0,12,0,0,0
1722529020000,-0.00087024,-0.00019348,-0.00087024,-0.00082640,0,1722529079999,0,12,0,0,0
1722529080000,-0.00055417,-0.00026585,-0.00080015,-0.00033265,0,1722529139999,0,12,0,0,0
1722529140000,-0.00042318,-0.00030554,-0.00094982,-0.00065412,0,1722529199999,0,12,0,0,0
1722529200000,-0.00018145,-0.00009524,-0.00074493,-0.00053003,0,1722529259999,0,12,0,0,0
1722529260000,-0.00025323,-0.00006247,-0.00080831,-0.00072058,0,1722529319999,0,12,0,0,0
1722529320000,-0.00035364,-0.00021494,-0.00071046,-0.00060413,0,1722529379999,0,12,0,0,0
1722529380000,-0.00068788,-0.00008731,-0.00075052,-0.00075052,0,1722529439999,0,12,0,0,0
1722529440000,-0.00067739,0.00000621,-0.00078105,-0.00066891,0,1722529499999,0,12,0,0,0
1722529500000,-0.00058929,-0.00004448,-0.00065251,-0.00044305,0,1722529559999,0,12,0,0,0
1722529560000,-0.00059616,-0.00008015,-0.00081738,-0.00081738,0,1722529619999,0,12,0,0,0
1722529620000,-0.00099178,-0.00065895,-0.00125338,-0.00090011,0,1722529679999,0,12,0,0,0
1722529680000,-0.00079801,-0.00014931,-0.00119119,-0.00073943,0,1722529739999,0,12,0,0,0
1722529740000,-0.00016195,-0.00016195,-0.00082726,-0.00064048,0,1722529799999,0,12,0,0,0
1722529800000,-0.00059946,-0.00003385,-0.00086000,-0.00003385,0,1722529859999,0,12,0,0,0
1722529860000,-0.00002659,0,-0.00097619,-0.00041526,0,1722529919999,0,12,0,0,0
1722529920000,-0.00032356,-0.00007894,-0.00071882,-0.00052875,0,1722529979999,0,12,0,0,0
1722529980000,-0.00038973,-0.00020552,-0.00089892,-0.00077448,0,1722530039999,0,12,0,0,0
1722530040000,-0.00080033,0.00000061,-0.00112436,-0.00058672,0,1722530099999,0,12,0,0,0
